loc,FMP_SUBAREA
-167_54.6666666666667,BS
-168.333333333333_52.6666666666667,WG
-168.333333333333_53,WG
-168.333333333333_53.3333333333333,BS
-168.333333333333_53.6666666666667,BS
-168.333333333333_55,BS
-168.333333333333_55.3333333333333,BS
-168.333333333333_56,BS
-168.666666666667_51.3333333333333,WG
-168.666666666667_52.6666666666667,WG
-168.666666666667_53,BS
-168.666666666667_53.3333333333333,BS
-168.666666666667_55.3333333333333,BS
-168.666666666667_55.6666666666667,BS
-168.666666666667_56,BS
-168.666666666667_56.3333333333333,BS
-168_52.6666666666667,WG
-168_53,WG
-168_53.3333333333333,BS
-168_54.6666666666667,BS
-168_55,BS
-169.333333333333_52.3333333333333,WG
-169.333333333333_52.6666666666667,BS
-169.333333333333_53,BS
-169.333333333333_55.3333333333333,BS
-169.333333333333_55.6666666666667,BS
-169.333333333333_56,BS
-169.333333333333_56.3333333333333,BS
-169.333333333333_57.6666666666667,BS
-169.666666666667_52.3333333333333,WG
-169.666666666667_52.6666666666667,BS
-169.666666666667_53,BS
-169.666666666667_55.6666666666667,BS
-169.666666666667_56,BS
-169.666666666667_56.3333333333333,BS
-169.666666666667_56.6666666666667,BS
-169_52.3333333333333,WG
-169_52.6666666666667,WG
-169_53,BS
-169_53.3333333333333,BS
-169_55.3333333333333,BS
-169_55.6666666666667,BS
-169_56,BS
-169_56.3333333333333,BS
-169_56.6666666666667,BS
-169_57,BS
-169_57.6666666666667,BS
-170.333333333333_52,AI
-170.333333333333_52.3333333333333,AI
-170.333333333333_52.6666666666667,AI
-170.333333333333_53,AI
-170.333333333333_55.6666666666667,BS
-170.333333333333_56,BS
-170.333333333333_56.6666666666667,BS
-170.333333333333_57,BS
-170.333333333333_57.3333333333333,BS
-170.666666666667_52,AI
-170.666666666667_52.3333333333333,AI
-170.666666666667_52.6666666666667,AI
-170.666666666667_53,AI
-170.666666666667_55.6666666666667,BS
-170.666666666667_56,BS
-170.666666666667_56.3333333333333,BS
-170.666666666667_56.6666666666667,BS
-170.666666666667_57,BS
-170_52,WG
-170_52.3333333333333,WG
-170_52.6666666666667,BS
-170_53,BS
-170_55.6666666666667,BS
-170_56,BS
-170_56.3333333333333,BS
